tsne1,tsne2,identifier,name,nodetype
26.060276,-23.642363,DOID:11758,iron_deficiency_anemia,Disease
45.05187,-9.212032,DOID:10763,hypertension,Disease
30.769106,4.6632314,DOID:9352,type_2_diabetes_mellitus,Disease
-49.16752,8.740478,DOID:8455,pyridoxine_deficiency_anemia,Disease
-23.479568,-16.887611,DOID:0050810,biotin_deficiency,Disease
28.117064,-9.828815,DOID:9971,hypervitaminosis_D,Disease
-8.899879,-13.816106,DOID:12678,hypercalcemia,Disease
-15.046013,12.868114,DOID:13724,scurvy,Disease
3.3572893,29.624765,DOID:10573,osteomalacia,Disease
-2.9337242,10.069986,DOID:8499,night_blindness,Disease
24.003548,7.743305,DOID:2018,hyperinsulinism,Disease
-39.556465,-1.9282734,DOID:9972,hypervitaminosis_A,Disease
31.764044,20.840675,DOID:12176,goiter,Disease
16.496363,28.464062,DOID:9452,fatty_liver_disease,Disease
-4.229438,30.678219,DOID:10609,rickets,Disease
